id,special_area_name,special_area_id,category,density
area_plan_8,NA,NA,Time_Share_Density,"NA"
area_plan_9,NA,NA,Time_Share_Density,"NA"
area_plan_10,NA,NA,Time_Share_Density,"NA"
area_plan_11,NA,NA,Time_Share_Density,"NA"
area_plan_12,NA,NA,Time_Share_Density,"NA"
area_plan_13,NA,NA,Time_Share_Density,"NA"
area_plan_14,NA,NA,Time_Share_Density,"NA"
area_plan_15,NA,NA,Time_Share_Density,"NA"
area_plan_16,NA,NA,Time_Share_Density,"NA"
area_plan_17,NA,NA,Time_Share_Density,"NA"
area_plan_18,NA,NA,Time_Share_Density,"NA"
area_plan_19,NA,NA,Time_Share_Density,"NA"
area_plan_20,NA,NA,Time_Share_Density,"NA"
area_plan_21,NA,NA,Time_Share_Density,"NA"
area_plan_22,NA,NA,Time_Share_Density,40 units per acre if less than 10% have kitchens
area_plan_23,NA,NA,Time_Share_Density,15 units per acre
area_plan_24,NA,NA,Time_Share_Density,"NA"
area_plan_25,NA,NA,Time_Share_Density,"NA"
